event_code,gid,key,wrong
193-fight with small arms and light weapons,375,AFP_ENG_20090330.0642.cameo.xml_193_3,
193-fight with small arms and light weapons,375,AFP_ENG_20090330.0642.cameo.xml_193_4,
193-fight with small arms and light weapons,377,AFP_ENG_20090406.0566.cameo.xml_193_1,
193-fight with small arms and light weapons,377,AFP_ENG_20090406.0566.cameo.xml_193_2,
193-fight with small arms and light weapons,376,AFP_ENG_20090423.0771.cameo.xml_193_1,
193-fight with small arms and light weapons,376,AFP_ENG_20090423.0771.cameo.xml_193_2,
193-fight with small arms and light weapons,376,AFP_ENG_20090423.0601.cameo.xml_193_1,
193-fight with small arms and light weapons,379,APW_ENG_20090311.0455.cameo.xml_193_3,
193-fight with small arms and light weapons,379,AFP_ENG_20090311.0136.cameo.xml_193_0,
193-fight with small arms and light weapons,379,APW_ENG_20090311.1582.cameo.xml_193_5,
193-fight with small arms and light weapons,379,APW_ENG_20090311.1582.cameo.xml_193_4,
193-fight with small arms and light weapons,379,APW_ENG_20090311.1124.cameo.xml_193_1,
193-fight with small arms and light weapons,379,APW_ENG_20090311.1582.cameo.xml_193_6,
193-fight with small arms and light weapons,378,AFP_ENG_20090408.0644.cameo.xml_193_5,
193-fight with small arms and light weapons,378,AFP_ENG_20090405.0017.cameo.xml_193_0,
193-fight with small arms and light weapons,381,APW_ENG_20090408.0253.cameo.xml_193_0,
193-fight with small arms and light weapons,381,APW_ENG_20090408.0253.cameo.xml_193_1,
193-fight with small arms and light weapons,380,APW_ENG_20090414.0271.cameo.xml_193_14,
193-fight with small arms and light weapons,380,APW_ENG_20090414.0271.cameo.xml_193_13,
193-fight with small arms and light weapons,380,APW_ENG_20090413.0743.cameo.xml_193_8,
193-fight with small arms and light weapons,380,APW_ENG_20090413.0200.cameo.xml_193_10,
193-fight with small arms and light weapons,380,AFP_ENG_20090412.0018.cameo.xml_193_1,
193-fight with small arms and light weapons,380,AFP_ENG_20090413.0578.cameo.xml_193_7,
193-fight with small arms and light weapons,383,AFP_ENG_20090415.0441.cameo.xml_193_2,
193-fight with small arms and light weapons,383,AFP_ENG_20090415.0441.cameo.xml_193_3,
193-fight with small arms and light weapons,382,APW_ENG_20090420.0021.cameo.xml_193_4,
193-fight with small arms and light weapons,382,APW_ENG_20090313.0684.cameo.xml_193_5,
193-fight with small arms and light weapons,382,AFP_ENG_20090416.0545.cameo.xml_193_3,
193-fight with small arms and light weapons,382,AFP_ENG_20090420.0021.cameo.xml_193_2,
193-fight with small arms and light weapons,365,AFP_ENG_20090323.0096.cameo.xml_193_4,
193-fight with small arms and light weapons,365,AFP_ENG_20090323.0096.cameo.xml_193_5,
193-fight with small arms and light weapons,365,AFP_ENG_20090323.0096.cameo.xml_193_2,
193-fight with small arms and light weapons,365,AFP_ENG_20090323.0096.cameo.xml_193_3,
193-fight with small arms and light weapons,364,AFP_ENG_20090420.0551.cameo.xml_193_2,
193-fight with small arms and light weapons,364,AFP_ENG_20090420.0551.cameo.xml_193_3,
193-fight with small arms and light weapons,367,AFP_ENG_20090324.0668.cameo.xml_193_1,
193-fight with small arms and light weapons,367,AFP_ENG_20090324.0668.cameo.xml_193_0,
193-fight with small arms and light weapons,366,APW_ENG_20090410.0275.cameo.xml_193_2,
193-fight with small arms and light weapons,366,APW_ENG_20090410.0275.cameo.xml_193_3,
193-fight with small arms and light weapons,366,APW_ENG_20090410.0275.cameo.xml_193_1,
193-fight with small arms and light weapons,369,APW_ENG_20090422.0312.cameo.xml_193_2,
193-fight with small arms and light weapons,369,APW_ENG_20090422.0312.cameo.xml_193_3,
193-fight with small arms and light weapons,368,AFP_ENG_20090415.0201.cameo.xml_193_1,
193-fight with small arms and light weapons,368,AFP_ENG_20090415.0201.cameo.xml_193_0,
193-fight with small arms and light weapons,371,AFP_ENG_20090326.0662.cameo.xml_193_2,
193-fight with small arms and light weapons,371,AFP_ENG_20090328.0465.cameo.xml_193_0,
193-fight with small arms and light weapons,370,APW_ENG_20090308.0700.cameo.xml_193_10,
193-fight with small arms and light weapons,370,APW_ENG_20090308.0700.cameo.xml_193_11,
193-fight with small arms and light weapons,370,AFP_ENG_20090310.0211.cameo.xml_193_4,
193-fight with small arms and light weapons,370,APW_ENG_20090313.1262.cameo.xml_193_2,
193-fight with small arms and light weapons,370,APW_ENG_20090313.1262.cameo.xml_193_3,
193-fight with small arms and light weapons,372,AFP_ENG_20090311.0316.cameo.xml_193_3,
193-fight with small arms and light weapons,372,APW_ENG_20090311.1082.cameo.xml_193_2,
193-fight with small arms and light weapons,372,AFP_ENG_20090311.0316.cameo.xml_193_4,
193-fight with small arms and light weapons,372,APW_ENG_20090311.1082.cameo.xml_193_3,
193-fight with small arms and light weapons,372,AFP_ENG_20090311.0666.cameo.xml_193_6,
193-fight with small arms and light weapons,374,APW_ENG_20090323.0071.cameo.xml_193_7,
193-fight with small arms and light weapons,374,APW_ENG_20090322.0850.cameo.xml_193_1,
193-fight with small arms and light weapons,374,NYT_ENG_20090327.0113.cameo.xml_193_4,
